items,support,ordered_statistics,label,label_encode
"['chỗ', 'accent']",0.018763796909999998,"[OrderedStatistic(items_base=frozenset({'accent'}), items_add=frozenset({'chỗ'}), confidence=1.0, lift=5.883116883116883)]","Ô tô, xe máy",38
"['hgs', 'accent']",0.009381898455,"[OrderedStatistic(items_base=frozenset({'accent'}), items_add=frozenset({'hgs'}), confidence=0.5, lift=53.294117647058826), OrderedStatistic(items_base=frozenset({'hgs'}), items_add=frozenset({'accent'}), confidence=1.0, lift=53.294117647058826)]","Ô tô, xe máy",38
"['hiệu', 'accent']",0.01655629139,"[OrderedStatistic(items_base=frozenset({'accent'}), items_add=frozenset({'hiệu'}), confidence=0.8823529411764707, lift=4.453547435687367)]","Ô tô, xe máy",38
"['hyundai', 'accent']",0.017660044150000002,"[OrderedStatistic(items_base=frozenset({'accent'}), items_add=frozenset({'hyundai'}), confidence=0.9411764705882354, lift=8.442632498543972)]","Ô tô, xe máy",38
"['lắp_ráp', 'accent']",0.0038631346580000002,"[OrderedStatistic(items_base=frozenset({'accent'}), items_add=frozenset({'lắp_ráp'}), confidence=0.2058823529411765, lift=11.3048128342246), OrderedStatistic(items_base=frozenset({'lắp_ráp'}), items_add=frozenset({'accent'}), confidence=0.21212121212121213, lift=11.3048128342246)]","Ô tô, xe máy",38
"['mới', 'accent']",0.017660044150000002,"[OrderedStatistic(items_base=frozenset({'accent'}), items_add=frozenset({'mới'}), confidence=0.9411764705882354, lift=3.509077705156137)]","Ô tô, xe máy",38
"['nam', 'accent']",0.0038631346580000002,"[OrderedStatistic(items_base=frozenset({'accent'}), items_add=frozenset({'nam'}), confidence=0.2058823529411765, lift=8.675786593707251)]","Ô tô, xe máy",38
"['accent', 'ngồi']",0.01710816777,"[OrderedStatistic(items_base=frozenset({'accent'}), items_add=frozenset({'ngồi'}), confidence=0.911764705882353, lift=7.246130030959753)]","Ô tô, xe máy",38
"['năm', 'accent']",0.005518763797,"[OrderedStatistic(items_base=frozenset({'accent'}), items_add=frozenset({'năm'}), confidence=0.2941176470588236, lift=3.229946524064172)]","Ô tô, xe máy",38
"['accent', 'sản_xuất']",0.008830022075000001,"[OrderedStatistic(items_base=frozenset({'accent'}), items_add=frozenset({'sản_xuất'}), confidence=0.4705882352941177, lift=4.685197155785391)]","Ô tô, xe máy",38
"['tại', 'accent']",0.006070640176999999,"[OrderedStatistic(items_base=frozenset({'accent'}), items_add=frozenset({'tại'}), confidence=0.3235294117647059, lift=9.455407969639468)]","Ô tô, xe máy",38
"['việt', 'accent']",0.0038631346580000002,"[OrderedStatistic(items_base=frozenset({'accent'}), items_add=frozenset({'việt'}), confidence=0.2058823529411765, lift=8.882352941176471)]","Ô tô, xe máy",38
